movieId,region,platforms
11,AU,Stan
11,BR,NOW|Oi Play
11,CA,Crave Starz|Starz Play Amazon Channel
11,GB,Virgin TV Go
11,IT,Infinity
11,NL,KPN
11,NZ,Neon TV
11,PL,Horizon
11,US,fuboTV|Showtime Amazon Channel|Showtime|DIRECTV|Spectrum On Demand
13,AR,Netflix
13,BO,Netflix
13,BR,Oi Play
13,CL,Netflix
13,CO,Netflix
13,CR,Netflix
13,EC,Netflix
13,GT,Netflix
13,HN,Netflix
13,JP,dTV
13,MX,Netflix
13,PE,Netflix
13,PY,Netflix
13,RU,Wink
13,VE,Netflix
14,AR,Star Plus
14,AT,Disney Plus
14,AU,Disney Plus
14,BE,Disney Plus
14,BO,Star Plus
14,BR,Star Plus
14,CA,Disney Plus|Hoopla
14,CH,Disney Plus
14,CL,Star Plus
14,CO,Star Plus
14,CR,Star Plus
14,DE,Disney Plus
14,EC,Star Plus
14,FR,Disney Plus
14,GT,Star Plus
14,HN,Star Plus
14,IT,Disney Plus
14,MX,Star Plus
14,NL,Disney Plus
14,NZ,Disney Plus
14,PE,Star Plus
14,PT,Disney Plus
14,PY,Star Plus
14,RU,Okko
14,SG,Disney Plus
14,US,Hoopla
14,VE,Star Plus
15,AU,Stan
15,CA,Super Channel Amazon Channel
15,PL,Horizon
15,RO,Horizon
15,RU,Wink|More TV|Kinopoisk
16,AR,HBO Max|Movistar Play|HBO Go
16,AU,Stan
16,BO,HBO Max
16,BR,NOW
16,CL,HBO Max|Movistar Play|HBO Go
16,CO,HBO Max|Movistar Play|HBO Go
16,CR,HBO Max
16,EC,HBO Max|Movistar Play|HBO Go
16,GT,HBO Max
16,HN,HBO Max
16,JP,Amazon Prime Video|U-NEXT
16,MX,HBO Max|HBO Go
16,PE,HBO Max|HBO Go
16,PT,HBO Portugal
16,PY,HBO Max
16,RU,Ivi|Wink
16,TR,Netflix
16,US,Peacock Premium
16,VE,HBO Max|HBO Go
17,AR,Netflix
17,AT,Netflix|UPC TV
17,AU,BINGE|Foxtel Now
17,BE,Netflix|Yelo Play
17,BG,Netflix
17,BO,Netflix
17,BR,Netflix
17,CA,Netflix|Crave|Crave Starz|Crave Plus|Starz Play Amazon Channel
17,CH,Netflix|UPC TV
17,CL,Netflix
17,CO,Netflix
17,CR,Netflix
17,CZ,Netflix
17,DE,Netflix
17,DK,Netflix
17,EC,Netflix|Movistar Play
17,EE,Netflix|Viaplay
17,ES,Netflix
17,FI,Netflix
17,FR,Canal+|Rakuten TV|Starz Play Amazon Channel|Starz
17,GB,Starz Play Amazon Channel|Starz|Virgin TV Go
17,GT,Netflix
17,HN,Netflix
17,HU,Netflix
17,IE,Starz
17,IN,Netflix
17,IT,Starz Play Amazon Channel|Starz
17,JP,Starz Play Amazon Channel
17,KR,Netflix
17,LT,Netflix|Viaplay
17,LV,Netflix|Viaplay
17,MX,Netflix
17,NL,Netflix|Netflix Kids|Film1|KPN
17,NO,Netflix|Strim
